,Course,Model,Reciprocal_Rank
0,Agile Planning for Software Products,Author-Topic,0.07692307692307693
1,Agile Planning for Software Products,Author-Topic,0.07692307692307693
2,Agile Planning for Software Products,Author-Topic,0.07692307692307693
3,Agile Planning for Software Products,Author-Topic,0.07692307692307693
4,Agile Planning for Software Products,Author-Topic,0.07692307692307693
5,Agile Planning for Software Products,Author-Topic,0.047619047619047616
6,Agile Planning for Software Products,Author-Topic,0.037037037037037035
7,Agile Planning for Software Products,Author-Topic,0.047619047619047616
8,Agile Planning for Software Products,Author-Topic,0.25
9,Agile Planning for Software Products,Author-Topic,0.037037037037037035
10,Agile Planning for Software Products,Author-Topic,0.034482758620689655
11,Agile Planning for Software Products,Author-Topic,0.07692307692307693
12,Agile Planning for Software Products,Author-Topic,0.07692307692307693
13,Agile Planning for Software Products,Author-Topic,0.07692307692307693
14,Agile Planning for Software Products,Author-Topic,0.037037037037037035
15,Agile Planning for Software Products,Author-Topic,0.058823529411764705
16,Agile Planning for Software Products,Author-Topic,0.034482758620689655
17,Agile Planning for Software Products,Author-Topic,0.07692307692307693
18,Agile Planning for Software Products,Author-Topic,0.05263157894736842
19,Agile Planning for Software Products,Author-Topic,0.0625
20,Agile Planning for Software Products,Author-Topic,0.1
21,Agile Planning for Software Products,Author-Topic,0.058823529411764705
22,Agile Planning for Software Products,Author-Topic,0.0625
23,Agile Planning for Software Products,Author-Topic,0.058823529411764705
24,Agile Planning for Software Products,Author-Topic,0.25
25,Agile Planning for Software Products,Author-Topic,0.07692307692307693
26,Agile Planning for Software Products,Author-Topic,0.047619047619047616
27,Agile Planning for Software Products,Author-Topic,0.07692307692307693
28,Agile Planning for Software Products,Author-Topic,0.034482758620689655
29,Agile Planning for Software Products,Author-Topic,0.07692307692307693
30,Agile Planning for Software Products,Author-Topic,0.25
31,Agile Planning for Software Products,Author-Topic,0.058823529411764705
32,Agile Planning for Software Products,Author-Topic,0.07692307692307693
33,Agile Planning for Software Products,Author-Topic,0.05263157894736842
34,Agile Planning for Software Products,Author-Topic,0.05263157894736842
35,Agile Planning for Software Products,Author-Topic,0.058823529411764705
36,Agile Planning for Software Products,Author-Topic,0.3333333333333333
37,Agile Planning for Software Products,Author-Topic,0.05263157894736842
38,Agile Planning for Software Products,Author-Topic,0.05263157894736842
39,Agile Planning for Software Products,Author-Topic,0.058823529411764705
40,Agile Planning for Software Products,Author-Topic,0.037037037037037035
41,Agile Planning for Software Products,Author-Topic,0.058823529411764705
42,Agile Planning for Software Products,Author-Topic,0.058823529411764705
43,Agile Planning for Software Products,Author-Topic,0.058823529411764705
44,Agile Planning for Software Products,Author-Topic,0.047619047619047616
45,Agile Planning for Software Products,Author-Topic,0.058823529411764705
46,Agile Planning for Software Products,Author-Topic,0.058823529411764705
47,Agile Planning for Software Products,Author-Topic,0.07692307692307693
48,Agile Planning for Software Products,Author-Topic,0.07692307692307693
49,Agile Planning for Software Products,Author-Topic,0.07692307692307693
50,Agile Planning for Software Products,Author-Topic,0.07692307692307693
51,Agile Planning for Software Products,Author-Topic,0.037037037037037035
52,Agile Planning for Software Products,Author-Topic,0.058823529411764705
53,Agile Planning for Software Products,Author-Topic,0.047619047619047616
54,Agile Planning for Software Products,Author-Topic,0.07692307692307693
55,Agile Planning for Software Products,Author-Topic,0.058823529411764705
56,Agile Planning for Software Products,Author-Topic,0.045454545454545456
57,Agile Planning for Software Products,Author-Topic,0.05263157894736842
58,Agile Planning for Software Products,Author-Topic,0.058823529411764705
59,Agile Planning for Software Products,Author-Topic,0.05263157894736842
60,Agile Planning for Software Products,Author-Topic,0.043478260869565216
61,Agile Planning for Software Products,Author-Topic,0.07692307692307693
62,Agile Planning for Software Products,Author-Topic,0.058823529411764705
63,Agile Planning for Software Products,Author-Topic,0.07692307692307693
64,Agile Planning for Software Products,Author-Topic,0.037037037037037035
65,Agile Planning for Software Products,Author-Topic,0.037037037037037035
66,Agile Planning for Software Products,Author-Topic,0.07692307692307693
67,Agile Planning for Software Products,Author-Topic,0.07692307692307693
68,Agile Planning for Software Products,Author-Topic,0.07692307692307693
69,Agile Planning for Software Products,Author-Topic,0.07692307692307693
70,Agile Planning for Software Products,Author-Topic,0.058823529411764705
71,Agile Planning for Software Products,Author-Topic,0.07692307692307693
72,Agile Planning for Software Products,Author-Topic,0.07692307692307693
73,Agile Planning for Software Products,Author-Topic,0.058823529411764705
74,Agile Planning for Software Products,Author-Topic,0.25
75,Agile Planning for Software Products,Author-Topic,0.07692307692307693
76,Agile Planning for Software Products,Author-Topic,0.07692307692307693
77,Agile Planning for Software Products,Author-Topic,0.07692307692307693
78,Agile Planning for Software Products,Author-Topic,0.058823529411764705
79,Agile Planning for Software Products,Author-Topic,0.07692307692307693
80,Agile Planning for Software Products,Author-Topic,0.0625
81,Agile Planning for Software Products,Author-Topic,0.058823529411764705
82,Agile Planning for Software Products,Author-Topic,0.07692307692307693
83,Agile Planning for Software Products,Author-Topic,0.07692307692307693
84,Agile Planning for Software Products,Author-Topic,0.058823529411764705
85,Agile Planning for Software Products,Author-Topic,0.07692307692307693
86,Agile Planning for Software Products,Author-Topic,0.05263157894736842
87,Agile Planning for Software Products,Author-Topic,0.058823529411764705
88,Agile Planning for Software Products,Author-Topic,0.037037037037037035
89,Agile Planning for Software Products,Author-Topic,0.07692307692307693
90,Agile Planning for Software Products,Author-Topic,0.05
91,Agile Planning for Software Products,Author-Topic,0.07692307692307693
92,Agile Planning for Software Products,Author-Topic,0.037037037037037035
93,Agile Planning for Software Products,Author-Topic,0.07692307692307693
94,Agile Planning for Software Products,Author-Topic,0.034482758620689655
95,Agile Planning for Software Products,Author-Topic,0.047619047619047616
96,Agile Planning for Software Products,Author-Topic,0.07692307692307693
97,Agile Planning for Software Products,Author-Topic,0.058823529411764705
98,Agile Planning for Software Products,Author-Topic,0.07692307692307693
99,Agile Planning for Software Products,Author-Topic,0.05263157894736842
100,Agile Planning for Software Products,HDP-LDA,0.5
101,Agile Planning for Software Products,HDP-LDA,0.0625
102,Agile Planning for Software Products,HDP-LDA,0.5
103,Agile Planning for Software Products,HDP-LDA,0.2
104,Agile Planning for Software Products,HDP-LDA,0.125
105,Agile Planning for Software Products,HDP-LDA,1.0
106,Agile Planning for Software Products,HDP-LDA,0.5
107,Agile Planning for Software Products,HDP-LDA,1.0
108,Agile Planning for Software Products,HDP-LDA,1.0
109,Agile Planning for Software Products,HDP-LDA,0.1
110,Agile Planning for Software Products,HDP-LDA,0.2
111,Agile Planning for Software Products,HDP-LDA,0.125
112,Agile Planning for Software Products,HDP-LDA,0.5
113,Agile Planning for Software Products,HDP-LDA,0.0625
114,Agile Planning for Software Products,HDP-LDA,0.2
115,Agile Planning for Software Products,HDP-LDA,0.5
116,Agile Planning for Software Products,HDP-LDA,0.2
117,Agile Planning for Software Products,HDP-LDA,0.5
118,Agile Planning for Software Products,HDP-LDA,0.07142857142857142
119,Agile Planning for Software Products,HDP-LDA,0.16666666666666666
120,Agile Planning for Software Products,HDP-LDA,1.0
121,Agile Planning for Software Products,HDP-LDA,0.3333333333333333
122,Agile Planning for Software Products,HDP-LDA,0.16666666666666666
123,Agile Planning for Software Products,HDP-LDA,0.5
124,Agile Planning for Software Products,HDP-LDA,1.0
125,Agile Planning for Software Products,HDP-LDA,0.5
126,Agile Planning for Software Products,HDP-LDA,0.3333333333333333
127,Agile Planning for Software Products,HDP-LDA,0.2
128,Agile Planning for Software Products,HDP-LDA,0.2
129,Agile Planning for Software Products,HDP-LDA,0.5
130,Agile Planning for Software Products,HDP-LDA,1.0
131,Agile Planning for Software Products,HDP-LDA,0.5
132,Agile Planning for Software Products,HDP-LDA,0.2
133,Agile Planning for Software Products,HDP-LDA,0.07142857142857142
134,Agile Planning for Software Products,HDP-LDA,0.1
135,Agile Planning for Software Products,HDP-LDA,0.16666666666666666
136,Agile Planning for Software Products,HDP-LDA,0.3333333333333333
137,Agile Planning for Software Products,HDP-LDA,0.2
138,Agile Planning for Software Products,HDP-LDA,0.1111111111111111
139,Agile Planning for Software Products,HDP-LDA,0.25
140,Agile Planning for Software Products,HDP-LDA,0.5
141,Agile Planning for Software Products,HDP-LDA,0.25
142,Agile Planning for Software Products,HDP-LDA,0.5
143,Agile Planning for Software Products,HDP-LDA,0.2
144,Agile Planning for Software Products,HDP-LDA,0.3333333333333333
